Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00040789,0.0043672,-0.042773,0,0,0,0.091809,5.4116E-05,4.0634E-07,-1.041E-06,0.00010076,-4.6185E-07,9.0663E-05,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/base_link.STL,,33-1;31-5;28-2;32-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link01,-0.0013075,0.00095537,-0.037441,0,0,0,0.010228,4.5019E-06,1.389E-09,-1.4756E-07,4.4556E-06,3.959E-08,2.8134E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link01.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link01.STL,,01-1,坐标系2,基准轴2,joint001,revolute,-0.028069,0.0068497,-0.041587,0,0,0,base_link,0.99939,0,-0.034899,0,0,0,0,,,,,,,,
Link02,-0.00039499,-0.00011147,-0.011311,0,0,0,0.00096478,6.7477E-08,-2.0942E-11,-2.1362E-09,6.7215E-08,-5.9961E-10,6.3805E-09,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link02.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link02.STL,,05-1,坐标系3,基准轴3,joint012,prismatic,-0.0024717,-0.00069757,-0.07078,0,0,0,Link01,-0.034898,-0.009849,-0.99934,0,0,0,0,,,,,,,,
Link03,0.0024223,-0.0078624,-0.016577,0,0,0,0.0090333,1.768E-06,-7.9691E-09,-3.4656E-08,1.7729E-06,-2.2807E-07,7.7843E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link03.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link03.STL,,30-9;09-1,坐标系4,基准轴4,joint023,revolute,-0.0040346,-0.00029252,-0.029576,0,0,0,Link02,-0.99939,0,0.034899,0,0,0,0,,,,,,,,
Link04,0.0025725,-0.0077235,-0.02232,0,0,0,0.014494,2.7886E-06,-2.9364E-08,-5.5659E-08,2.2885E-06,-8.4296E-07,1.196E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link04.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link04.STL,,13-1,坐标系5,基准轴5,joint034,revolute,-0.0016841,-0.017353,-0.038198,0,0,0,Link03,0.99939,0,-0.034899,0,0,0,0,,,,,,,,
Link031,-0.012901,-0.0018479,-0.0027993,0,0,0,0.0090333,7.7722E-07,-2.2821E-07,5.6555E-11,1.7729E-06,4.6152E-12,1.7692E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link031.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link031.STL,,09-1;30-9,坐标系6,基准轴6,joint003,revolute,-0.0345,-0.00015498,-0.14553,0,-1.5359,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link05,0.0016013,0.0014238,-0.018617,0,0,0,0.00069948,1.2081E-07,3.317E-10,-4.1019E-09,1.2037E-07,9.4987E-09,3.4934E-09,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link05.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link05.STL,,29-5,坐标系7,基准轴7,joint005,revolute,-0.033786,-0.0067159,-0.14085,0,0,0,base_link,0.99939,0,-0.034899,0,0,0,0,,,,,,,,
Link041,-0.025167,-0.015159,-0.0041998,0,0,0,0.014494,1.194E-06,-8.4347E-07,-2.3317E-11,2.2885E-06,-7.2531E-11,2.7905E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link041.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link041.STL,,13-1,坐标系8,基准轴8,joint054,revolute,-0.0032193,0.0026583,-0.036313,0,-1.5359,0,Link05,0,0,-1,0,0,0,0,,,,,,,,
Link41,-0.02607,-0.00010211,-0.0060545,0,0,0,0.010429,7.6968E-07,-6.219E-09,-2.9412E-08,2.3567E-06,-1.1747E-10,1.8027E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link41.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link41.STL,,17-1,坐标系42,基准轴42,joint401,revolute,0.033577,-0.0119,-0.04755,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link42,-0.01074,-4.2071E-05,3.1818E-10,0,0,0,0.0006939,6.1418E-09,-5.4783E-11,1.3215E-15,2.0129E-08,1.3405E-17,2.0374E-08,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link42.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link42.STL,,27-2,坐标系43,基准轴43,joint412,prismatic,-0.047038,-0.00018427,0,0,0,0,Link41,0.99999,0.0039175,0,0,0,0,0,,,,,,,,
